rollout/ep_len_mean,rollout/ep_rew_mean,time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/explained_variance,train/approx_kl,train/clip_fraction,train/entropy_loss,train/clip_range,train/value_loss,train/learning_rate,train/n_updates,train/loss,train/policy_gradient_loss
13.75,146.02409365,3,3840,15,1239,0.14935905,0.019107684,0.196484375,-2.3007395207881927,0.2,2340.768997192383,0.0003,140,1039.6326904296875,-0.021565732546150684
14.06,147.46886761,3,4096,16,1316,0.16626668,0.009922289,0.026171875,-2.300597256422043,0.2,2105.1641052246096,0.0003,150,628.036376953125,-0.014192301733419298
13.97,146.98382981,3,4352,17,1393,0.12654537,0.0070223515,0.014453125,-2.2536384046077726,0.2,2415.235485839844,0.0003,160,1351.5887451171875,-0.010901763406582176
14.1,148.15872272999997,3,4608,18,1469,0.21499348,0.011334576,0.053125,-2.1913560152053835,0.2,2257.232015991211,0.0003,170,1539.6790771484375,-0.016579732904210685
14.33,145.93763013,3,4864,19,1549,0.2102344,0.007062788,0.019921875,-2.189986950159073,0.2,2162.6975128173826,0.0003,180,917.5017700195312,-0.008146383031271399
14.62,146.46447267,3,5120,20,1633,0.1368429,0.003869453,0.001953125,-2.184001111984253,0.2,3147.2519775390624,0.0003,190,1570.14306640625,-0.004646944813430309
14.41,146.66616126000002,3,5376,21,1714,0.19074285,0.0016003144,0.0,-2.1534256041049957,0.2,2536.8060638427733,0.0003,200,1254.6270751953125,-0.00555170914158225
14.35,149.31725264,3,5632,22,1797,0.21890217,0.014094621,0.06796875,-2.117465782165527,0.2,2349.5702209472656,0.0003,210,1416.1912841796875,-0.013375646620988845
14.43,151.03363091000003,3,5888,23,1880,0.21707493,0.011057557,0.075,-2.088300943374634,0.2,1826.3852828979493,0.0003,220,1252.673095703125,-0.016484754718840124
14.45,153.06535577,3,6144,24,1962,0.23634493,0.004544219,0.007421875,-2.088108229637146,0.2,2158.289877319336,0.0003,230,654.346923828125,-0.00725976109970361
14.4,155.43772838999996,3,6400,25,2041,0.22553968,0.015643595,0.071484375,-2.050775316357613,0.2,1971.407405090332,0.0003,240,1462.2755126953125,-0.015533723076805473
14.35,158.69805227999998,3,6656,26,2122,0.24466497,0.0029786343,0.00703125,-2.0372692942619324,0.2,1838.2685897827148,0.0003,250,1267.054931640625,-0.005344932852312923
14.46,158.75354579,3,6912,27,2204,0.2329343,0.009106793,0.015234375,-2.00457404255867,0.2,2460.6726623535155,0.0003,260,932.5484619140625,-0.010364254051819444
14.48,159.07006988,3,7168,28,2287,0.276573,0.015632385,0.066796875,-2.018108582496643,0.2,1913.7609664916993,0.0003,270,1158.4368896484375,-0.014177614497020841
14.48,159.12972552000002,3,7424,29,2366,0.29196942,0.016304707,0.105078125,-1.95896415412426,0.2,2016.2247406005858,0.0003,280,1117.029541015625,-0.017847840720787645
14.64,159.42547382000004,3,7680,30,2446,0.31434542,0.014371769,0.086328125,-1.8161388903856277,0.2,2180.8511627197267,0.0003,290,1763.788818359375,-0.016601741267368197
14.64,160.14461303,3,7936,31,2528,0.30513847,0.0020731706,0.00390625,-1.7617502361536026,0.2,2455.3196868896484,0.0003,300,1238.1834716796875,-0.005763241369277239
14.92,163.42139905,3,8192,32,2607,0.30886316,0.014326126,0.0625,-1.725078609585762,0.2,2461.9972137451173,0.0003,310,587.7001953125,-0.009039899613708258
14.92,164.38597265,3,8448,33,2687,0.27762634,0.0035069599,0.01484375,-1.5962058633565903,0.2,2379.072717285156,0.0003,320,787.86181640625,-0.005513731623068452
15.0,165.67449276,3,8704,34,2768,0.30719066,0.0063999537,0.021484375,-1.5701904505491258,0.2,2352.986447143555,0.0003,330,1239.198974609375,-0.0054514924297109245
15.0,166.23215109,3,8960,35,2849,0.32337368,0.009017644,0.005859375,-1.5193803161382675,0.2,2767.0004486083985,0.0003,340,1520.3902587890625,-0.008332227496430278
